"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
3012,621566,"Olson, Matt",22196,13.6,0.292,0.253,0.308,0.545,0.35,0.341,0.277,346,1183,93,16.5,2265,90.1,90.44,762,3012,0,0.30000000000001137,6.48,115,146,130,152,302,329,304,"26.447","-26.447","74.0","7.4",1196,959,196,74,3,73,237,19.8,0,0,2.22823,0.6228,0.37762,-0.13347,"92.8",180,52.35109717868338,13.793103448275861,11.036789297658862,5.79,-0.83,0.09,2.43,0.289,132,"-0.878054449",0.276,0.529,"0.878054449",0.015,0.012999999999999956,0.016,0.009,25.3,"37.0",8.514962517448165,-0.2939362357025583,34.211520646619356,0.46613545816733065,37.65435421469657,33.24125175957667
2905,663728,"Raleigh, Cal",9981,29.1,0.267,0.33,0.253,0.597,0.359,0.359,0.268,305,1142,91.8,24.2,2209,89.5,89.71,834,2905,0,0.20000000000000284,6.4,113,147,126,150,297,325,297,"10.413","-10.413","74.9","7.8",1152,881,148,47,0,110,271,23.5,0,0,2.25556,0.6321,0.43945,-0.43747,"93.2",181,50.28376844494892,17.93416572077185,13.715277777777779,5.74,-0.74,-0.1,2.45,0.265,158,"-0.358450947",0.267,0.589,"0.358450947",-0.001,-0.0020000000000000018,0.008,0,28.7,"37.9",17.21003741292335,-7.987995611967133,33.00159345991566,0.4612736660929432,35.5716329997187,36.56963607160446
2867,642715,"Adames, Willy",17376,16.5,0.268,0.23,0.286,0.498,0.321,0.324,0.267,322,1202,89.5,21.4,2278,90.1,90.41,782,2867,0,0.30000000000001137,6.46,107,151,121,146,303,322,293,"39.243","-39.243","72.8","8.1",1213,956,186,64,4,68,257,21.2,0,0,2.1796,0.66434,0.36444,0.12425,"91.8",168,42.40837696335078,12.041884816753926,9.480626545754328,5.8,-0.83,0.03,2.4,0.265,115,"-1.3687827",0.266,0.501,"1.3687827",0.001,-0.0010000000000000009,-0.003,-0.003,27.3,"39.2",16.82085967781713,-2.7098927064618494,34.456483069458336,0.5315660969654691,39.3138906804353,30.978986773460207
2822,677594,"Rodríguez, Julio",9547,29.6,0.303,0.214,0.329,0.518,0.347,0.355,0.303,379,1250,92.9,10.2,2264,89.2,89.44,785,2822,0,0.20000000000000284,6.43,107,151,122,147,304,325,294,"4.974","-4.974","76.5","7.8",1256,1018,247,62,4,66,238,18.9,0,0,2.31852,0.59094,0.3276,0.10148,"93.3",158,51.27952755905512,11.41732283464567,9.235668789808917,5.76,-0.86,0.08,2.26,0.302,116,"-0.176257973",0.302,0.532,"0.176257973",0,0,-0.014,-0.008,27.8,"38.7",7.52639721112629,-2.623273041095702,32.52197176563371,0.4723600283486889,38.94354768187037,33.35361746332818
2803,592206,"Castellanos, Nick",26003,10.8,0.273,0.195,0.292,0.468,0.312,0.312,0.276,317,1161,89,15.9,2278,88.3,88.55,840,2803,0,0.29999999999999716,6.45,107,151,122,146,301,323,290,"46.42","-46.42","71.4","7.6",1170,966,196,65,7,49,204,17.4,0,0,2.51222,0.4544,0.19915,-0.05788,"91.4",159,38.095238095238095,8.281573498964804,6.837606837606838,5.85,-0.65,0.11,2.42,0.271,80,"-1.656082768",0.275,0.459,"1.656082768",-0.003,-0.0040000000000000036,0.009,0,30,"38.6",14.219226386194146,-5.253204468878395,39.51944365303467,0.4730645736710667,38.145656885768034,31.369947739989637
2801,646240,"Devers, Rafael",19350,14.5,0.281,0.261,0.301,0.542,0.344,0.349,0.282,314,1116,93.6,12.4,2250,90.2,90.48,816,2801,0,0.29999999999999716,6.45,115,147,130,152,289,325,307,"32.329","-32.329","72.3","7.5",1126,878,170,68,5,71,248,22,0,0,2.13486,0.7115,0.43557,-0.16164,"93.1",173,56.00000000000001,14.285714285714285,11.101243339253998,5.76,-0.6,-0.07,2.35,0.279,125,"-1.15419493",0.281,0.544,"1.15419493",-0.001,-0.0020000000000000018,-0.002,-0.005,29.1,"38.3",9.299593018469047,4.7629529099485195,28.793747666975694,0.599785790789004,35.4114876598946,29.29386416031507
2794,596019,"Lindor, Francisco",26775,10.4,0.279,0.229,0.284,0.508,0.33,0.333,0.281,353,1264,91.1,17.5,2239,89.4,89.6,597,2794,0,0.19999999999998863,6.47,115,147,119,150,297,325,300,"32.866","-32.866","71.6","7.5",1276,1066,205,77,1,70,210,16.5,0,0,2.30073,0.60202,0.38273,-0.38337,"92.5",170,46.10328638497653,11.173708920187792,9.32601880877743,5.76,-0.74,0.01,2.28,0.277,119,"-1.176306371",0.28,0.505,"1.176306371",-0.002,-0.0030000000000000027,0.003,-0.003,21.4,"38.0",11.814106254967548,-2.1178291733130483,33.72203776862486,0.5447387258410881,34.995784902496105,30.037409884671924
2771,668804,"Reynolds, Bryan",15667,17.7,0.289,0.191,0.321,0.481,0.326,0.342,0.298,354,1223,91.1,9.1,2240,88.8,89.02,747,2771,0,0.20000000000000284,6.43,113,147,122,150,301,323,296,"51.039","-51.039","71.6","6.9",1230,999,226,71,8,49,231,18.8,0,0,2.44351,0.48927,0.33302,-0.33302,"92.3",155,46.834170854271356,9.748743718592964,7.8861788617886175,5.74,-0.75,-0.06,2.31,0.288,97,"-1.841898232",0.297,0.506,"1.841898232",-0.009,-0.009000000000000008,-0.025,-0.016,27,"38.0",12.91719094795131,0.7620327845378424,38.045891772024525,0.46806207145434864,36.847541937507195,28.653341514266522
2751,677951,"Witt Jr., Bobby",10216,26.9,0.319,0.255,0.321,0.574,0.372,0.377,0.314,413,1296,92.8,16.1,2275,89.6,89.96,578,2751,0,0.4000000000000057,6.45,107,150,120,146,308,327,296,"-19.697","19.697","74.6","7.1",1315,1146,235,91,21,66,169,12.9,0,0,2.25392,0.62246,0.27592,0.07491,"93.2",179,48.33916083916084,13.286713286713287,11.55893536121673,5.79,-1.04,0.12,2.43,0.314,152,"0.715994184",0.315,0.569,"-0.715994184",0.005,-0.0010000000000000009,0.005,-0.005,21,"39.5",5.577130171257067,-1.0391586916341136,29.5179300140158,0.4820065430752454,34.70481723355814,28.884908165002493
2750,521692,"Perez, Salvador",24117,11.4,0.275,0.207,0.283,0.481,0.319,0.359,0.296,334,1215,91.2,18.2,2283,89.1,89.4,703,2750,0,0.30000000000001137,6.45,108,151,123,146,305,328,300,"43.593","-43.593","73.0","7.9",1225,1024,205,68,0,61,201,16.4,0,0,2.36127,0.54993,0.24731,0.06198,"92.7",170,47.064579256360076,12.818003913894325,10.693877551020408,5.78,-0.91,0.24,2.34,0.273,131,"-1.5852",0.294,0.557,"1.5852",-0.021,-0.020999999999999963,-0.076,-0.04,25.6,"39.5",13.07298140896024,-5.92684115410078,34.53062447897944,0.5512727272727272,38.78682811475974,29.77702752320924
